ID,Red,BM,RootNet,Título,Ubicación,Tipo de red,Categoría red,Comentario,ID de ubicación,Tipo de uso,Allow usage of network and broadcast IP's,Parent,Utilizado,Acciones
14,10.205.2.0,26,Ninguno,principal (2) (1),Todo,EndNet,Produccion,CLIENTES,Todo,static,0,0,,
21,10.205.3.0,26,Ninguno,SECTOR 3,SECTOR 3 AC 10.20.10.3,EndNet,Produccion,SECTOR 3,SECTOR 3 AC 10.20.10.3,static,0,0,,
25,10.205.4.0,26,Ninguno,SECTOR 4,SECTOR 4      10.20.10.4,EndNet,Dev,SECTOR 4,SECTOR 4      10.20.10.4,static,0,0,,
26,10.205.5.0,26,Ninguno,SECTOR 5,SECTOR 5   10.20.10.5,EndNet,Dev,SECTOR 5,SECTOR 5   10.20.10.5,static,0,0,,
27,10.205.0.0,23,Ninguno,principal (1) (2),Todo,EndNet,Produccion,CLIENTES,Todo,static,0,0,,
28,10.205.6.0,26,Ninguno,SECTOR 6,SECTOR 6 AC  10.20.10.6,EndNet,Dev,SECTOR 6,SECTOR 6 AC  10.20.10.6,static,0,0,,
29,10.205.7.0,26,Ninguno,SECTOR 7,Todo,EndNet,Dev,SECTOR 7,Todo,static,0,0,,
30,10.205.8.0,26,Ninguno,SECTOR 8,SECTOR 8 AC 10.20.10.8,EndNet,Dev,SECTOR 8,SECTOR 8 AC 10.20.10.8,static,0,0,,
31,10.205.36.0,26,Ninguno,SECTOR 36,SP ABAJO 10.20.10.36,EndNet,Dev,,SP ABAJO 10.20.10.36,static,0,0,,
32,10.205.37.0,26,Ninguno,SECTOR 37,Todo,EndNet,Dev,SECTOR 37,Todo,static,0,0,,
33,10.205.9.0,26,Ninguno,Alacran,Todo,EndNet,Dev,Alacran,Todo,static,0,0,,
36,10.50.10.0,24,Ninguno,Fibra dhcp,Todo,EndNet,Dev,,Todo,static,0,0,,
38,10.10.0.0,19,Ninguno,FIBRA_CCR1009,Todo,EndNet,Produccion,FIBRA_CCR1009,Todo,static,0,0,,
39,10.206.0.0,18,Ninguno,VoIP,Todo,EndNet,Produccion,,Todo,pool,0,0,,
40,10.207.0.0,19,Ninguno,Fibra RB_3011,Todo,EndNet,Produccion,,Todo,pool,0,0,,
41,10.5.0.0,21,Ninguno,Tarjeta5,Todo,EndNet,Dev,tarjeta5,Todo,static,0,0,,
